id,CH_Minutos,OPERACOES_FORECAST,INI_VIGENCIA,CH,GRUPO,Consolidado,ACD,SEGMENTOS_CALCULADORA_FIN,DUMMY,SERVIDOR,OPERACOES,SKILL,SEGMENTOS,FIM_VIGENCIA,ALTERACAO,CHAMADO
rec03JWjAlYVM4VjC,588,CAU COMPLETO,2000-01-01,35280,PAT,CAU,1,SPEECH,0,TSM_011,CAU PP,381,CAU,2024-10-17,,
rec0eDGlD7ndjsKtG,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 12,844,Officer,2024-10-17,2024-09-18,
rec0sWXHzlzlsrthM,588,,2000-01-01,35280,VT,Officer,2,,0,BRT_101,ALELO_Officer,853,Officer,2024-10-17,,
rec18krXosQBDYjBv,492,,2000-01-01,29520,VT,Premium Consolidado,2,,0,BRT_101,ALELO_Premium,196,PREMIUM CONSOLIDADO,2024-10-17,,
rec1FZ4eksFaesxpx,588,FINANCEIRO / CONCILIAÇÃO / CONTAS A RECEBER ,2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,FINANCEIRO / CONCILIAÇÃO / CONTAS A RECEBER ,327,ALELO PAT BKO,2024-10-17,,
rec1rOqcmtlkrfsli,588,ALELO BKO,2024-04-07,35280,VT,ALELO BKO,1,,1,TSM_011,ALELO BKO DUMMY,604,ALELO BKO,2024-10-17,2024-09-18,
rec1yrOtZLVONXZ2v,588,PREMIUM DUMMY,2000-01-01,35280,PAT,PREMIUM,1,PA,1,TSM_011,PREMIUM DUMMY,335,PREMIUM,2024-10-17,,
rec24BGegD7JY6roi,588,FROTA,2000-01-01,35280,PAT,PREMIUM,1,PA,0,TSM_011,FROTA,382,PREMIUM,2024-10-17,,TKT-00679266
rec2YkFyjPldwq2Zd,588,IP USUÁRIOS,2000-01-01,35280,PAT,BKO IP,1,PA,0,TSM_011,IP USUÁRIOS,352,BKO IP,2024-10-17,,
rec3bEDK7eVI1PQb7,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 18,617,Officer,2024-10-17,2024-09-18,
rec4rMWZSdyEjhPN7,588,CAU COMPLETO,2000-01-01,35280,PAT,CAU,1,SPEECH,0,TSM_011,CAU PAT,380,CAU,2024-10-17,,
rec5IoO6y8w01dt17,588,Força de Vendas SVA,2000-01-01,35280,PAT,SVA,1,PA,0,TSM_011,Força de Vendas SVA,846,SVA,2024-10-17,,
rec5yWSKlv0QtKLVg,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 21,616,Officer,2024-10-17,2024-09-18,
rec64iG61Qo6Uhp4g,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,844,Officer,2024-06-04,,
rec67Mrimkww9ciT9,588,CALL BACK ATIVO - E-MAIL**,2000-01-01,35280,PAT,ALELO PAT BKO,1,PA,0,TSM_011,CALL BACK ATIVO - E-MAIL**,323,ALELO PAT BKO,2024-10-17,,
rec6ZnSlte5lX0Vzb,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,836,Officer,2024-06-04,,
rec6l7FbXXxOp6ICV,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,840,Officer,2024-06-04,,
rec7IBimfeqiaI3XN,492,Premium voz,2024-04-07,29520,VT,Premium Consolidado,1,,0,TSM_011,PREMIUM VOZ,388,PREMIUM CONSOLIDADO,2024-10-17,2024-09-18,
rec7QLZu0trtOOfbE,588,,2000-01-01,35280,VT,Officer,2,,0,BRT_101,ALELO_Officer,854,Officer,2024-10-17,,
rec7RtNS9GKa2ux8V,588,CAU JOB,2000-01-01,35280,PAT,CAU,1,SPEECH,0,TSM_011,CAU JOB,376,CAU,2024-03-01,,
rec7S4r30MUjLMOJt,588,CAE SUPORTE AO SITE,2000-01-01,35280,PAT,CAE,1,SPEECH,0,TSM_011,CAE SUPORTE AO SITE,320,CAE,2024-10-17,2024-09-18,
rec7bjxTWnex5qpHm,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,843,Officer,2024-04-15,,
rec7w4f6TTeC1YZdq,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 09,840,Officer,2024-10-17,2024-09-18,
rec8wW4ywiaHdFt4Y,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,839,Officer,2024-06-04,,
rec9uf4uCdhk5r6JG,588,BLINDAGEM,2024-08-01,35280,PAT,BLINDAGEM,1,PA,0,TSM_011,BLINDAGEM,368,BLINDAGEM,2024-10-17,,
recABD8cLaMmvmrpk,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 08,839,Officer,2024-10-17,2024-09-18,
recAnPvbihFJxPjkT,588,,2000-01-01,35280,VT,Officer,1,,0,BRT_101,ALELO_Officer,838,Officer,2024-04-13,,
recB3tawupIaB2hCu,588,PREMIUM PP,2000-01-01,35280,PAT,PREMIUM,1,PA,0,TSM_011,PREMIUM PP,358,PREMIUM,2024-10-17,,
recBckNh1CfSRoZM7,588,,2000-01-01,35280,VT,Officer,2,,0,BRT_101,ALELO_Officer,855,Officer,2024-10-17,,
recD5h5PJV7lGcZrG,588,VALE,2000-01-01,35280,PAT,PREMIUM,1,PA,0,TSM_011,VALE,374,PREMIUM,2024-10-17,,
recDGHRK04Dxkk9A2,492,Suporte ao Site,2024-04-07,29520,VT,Premium Consolidado,1,,0,TSM_011,SUPORTE AO SITE,600,PREMIUM CONSOLIDADO,2024-10-17,2024-09-18,
recDSav7caanVR93q,588,IP RH's,2000-01-01,35280,PAT,BKO IP,1,PA,0,TSM_011,IP RH's,351,BKO IP,2024-10-17,,
recDuN1zT1ULvbgYr,588,CAE POD,2000-01-01,35280,PAT,POD,1,PA,0,TSM_011,CAE POD,345,POD,2024-03-08,,
recEDvKDhBcxx1Sh2,588,CAE 4.0,2000-01-01,35280,PAT,CAE,1,SPEECH,0,TSM_011,CAE 4.0,373,CAE,2024-10-17,,
recELEejkfP6tPGBq,588,CAE PAT,2000-01-01,35280,PAT,CAE,1,SPEECH,0,TSM_011,CAE PAT,319,CAE,2024-10-17,,
recFtUXuSDCF4Vvrn,588,CAE,2024-01-01,35280,PAT,CAE,1,SPEECH,0,TSM_011,TRANSF CAE SUP N2,364,CAE,2024-10-17,,TKT-00905213
recGVptHHAwl9Wbfm,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 03,834,Officer,2024-10-17,2024-09-18,
recI2pkRXHjuqdurq,588,Officer,2024-04-07,35280,VT,Officer,1,,0,TSM_011,OFFICER DEDICADO 16,848,Officer,2024-10-17,2024-09-18,
